borrower_id,risk_score,risk_bucket
271,0.2011553356211525,Low
1785,0.19941990865006454,Low
1898,0.19967734122735814,Low
2851,0.1998070420279675,Low
7312,0.19962632333492336,Low
7347,0.20105565702985506,Low
9762,0.20003343010719576,Low
10523,0.20100779090572507,Low
10696,0.20003729062242037,Low
14640,0.199875659889313,Low
15392,0.20005116564335512,Low
15961,0.19989816054319576,Low
16211,0.19993806622987442,Low
17620,0.1995877936139624,Low
18741,0.20093331594723252,Low
21117,0.19961720404969152,Low
21549,0.20074968306525087,Low
23069,0.20028571729773925,Low
23798,0.19992074086702394,Low
24338,0.20007453427347544,Low
28141,0.19992732868446517,Low
28793,0.1999384573738474,Low
29079,0.199599411489352,Low
31266,0.20079976061042437,Low
31384,0.19947708166087175,Low
31400,0.19957009813585103,Low
32087,0.19956223960320263,Low
36103,0.20080620622391165,Low
37666,0.19991083146864608,Low
41730,0.19950192848961656,Low
42923,0.19982514126910944,Low
43866,0.19993524841559995,Low
44440,0.2004856164039418,Low
44649,0.19947572082546916,Low
45544,0.1998146439730838,Low
45782,0.19966818740280523,Low
47545,0.2000600645319216,Low
48880,0.20103612979518914,Low
49292,0.19965753135936026,Low
49964,0.20069419686687084,Low
50116,0.19970479127343466,Low
50198,0.2008748354068407,Low
50596,0.19985520417429437,Low
52681,0.20094316001670742,Low
52967,0.20082798370858213,Low
54268,0.19962941747814789,Low
54334,0.1996603299841504,Low
54760,0.20091088699748072,Low
54800,0.1996167607105893,Low
55354,0.19970001413228222,Low
59308,0.20097391008374144,Low
59412,0.20114871146701274,Low
59612,0.19999986387214008,Low
60675,0.20064918320512615,Low
61678,0.20099137844131054,Low
62041,0.19937618199213647,Low
62130,0.1996202266841488,Low
62172,0.20009578040677267,Low
62785,0.19973718910878713,Low
64378,0.19954696467516875,Low
65369,0.20126170984414293,Low
65394,0.19973056936850642,Low
65440,0.19973291445514296,Low
66357,0.1996201654258697,Low
66620,0.20059224156875222,Low
68282,0.1997179022824226,Low
68376,0.20090316702210553,Low
68530,0.2000221767136816,Low
68764,0.1998607906779849,Low
70114,0.19984008365573125,Low
70248,0.19996836232455528,Low
70944,0.19964132326038375,Low
71579,0.19982377983359723,Low
73220,0.19997993929716207,Low
73603,0.20080107757929078,Low
74755,0.20013713667901045,Low
74766,0.19965279700879168,Low
74791,0.19976303750076885,Low
77180,0.20072306207891089,Low
78189,0.2006576523014102,Low
79323,0.1997791868320825,Low
80811,0.20095707820784225,Low
84520,0.19990772343296304,Low
84798,0.1994485716954001,Low
84834,0.19978796558796164,Low
85002,0.19985622689216964,Low
85995,0.2001793460345619,Low
86161,0.20003791753893285,Low
88674,0.19950784223917295,Low
90947,0.20103720633485633,Low
91777,0.20000082507174688,Low
92982,0.19963410535523074,Low
94268,0.20006159472590035,Low
98148,0.20081683635779957,Low
98469,0.199691584547823,Low
98559,0.19968525918729818,Low
98851,0.20017904728528824,Low
99877,0.19975034344393572,Low
100060,0.19996599084502154,Low
100197,0.1998426076715274,Low
100485,0.199882736560148,Low
100619,0.19988064309211906,Low
101288,0.19980983192352098,Low
101411,0.1994745450088864,Low
101755,0.19976915617847013,Low
103078,0.19976198929830302,Low
105268,0.19984603401396028,Low
106371,0.19954151264035747,Low
106414,0.20101602951029596,Low
108735,0.1995237328004852,Low
109535,0.200003206990796,Low
109676,0.19982647764540196,Low
109960,0.19970028396312967,Low
110788,0.2000699116168584,Low
111049,0.19986284800918042,Low
111590,0.20059923715843786,Low
111606,0.20104133152070058,Low
111722,0.1997017878110262,Low
111843,0.20092541159227728,Low
111936,0.19969756230523328,Low
113913,0.1997452434510838,Low
115614,0.2009011307053027,Low
116067,0.2007911619730297,Low
116464,0.20004163416508502,Low
116520,0.1998775324313431,Low
117264,0.19978156123426682,Low
118165,0.2000309784135087,Low
118216,0.19958414864037077,Low
119092,0.1995336470652045,Low
120183,0.20006055869870332,Low
120979,0.19942145495932062,Low
121751,0.200055646639549,Low
121933,0.1998379923311837,Low
124239,0.1996159058992656,Low
372,0.20000801709396177,Low
722,0.20090359421287196,Low
2381,0.1997742863216495,Low
2681,0.19966648300500212,Low
2966,0.2001327114036392,Low
2979,0.19987104235949438,Low
4875,0.1997615755803599,Low
5048,0.20005258567100526,Low
6381,0.19949478420157085,Low
8610,0.19995546863756375,Low
10420,0.2001816077735622,Low
13126,0.20062562569077347,Low
13995,0.19972348148946606,Low
14280,0.19968568716342328,Low
15212,0.20003734332698075,Low
15502,0.19964144485653934,Low
15645,0.19974522408248796,Low
15781,0.19956964202383298,Low
16893,0.19962993423580722,Low
17518,0.19961403526503152,Low
17557,0.19947839150414104,Low
18008,0.19971561937576454,Low
19351,0.19955526763605214,Low
21477,0.19986899284290416,Low
21804,0.19959140383953144,Low
21839,0.2010857670093973,Low
24393,0.1998851886741666,Low
24405,0.1998763828118333,Low
25092,0.19967942819512852,Low
26446,0.1995771030447544,Low
27063,0.20005670650863505,Low
27368,0.1998114379566024,Low
28684,0.20013436625291192,Low
31420,0.19968417567446772,Low
32333,0.19952948610021326,Low
36861,0.20078266732504535,Low
38929,0.19986488555167303,Low
39815,0.19972451930133295,Low
40950,0.20005469434268597,Low
42569,0.19957611011680199,Low
43057,0.20057220651536445,Low
44437,0.20104782440239333,Low
44942,0.19992281383031407,Low
45133,0.1999890759694798,Low
47051,0.1997060952326013,Low
