amount,txn_count_5m,avg_amount_5m,is_fraud
257.79686248594373,2,160.58393438344055,0
161.22300268302786,3,197.4690990030451,0
268.2827884003391,2,119.25746874325236,0
487.71418803292585,2,170.7535007416731,0
476.23146232443065,3,100.44199815735875,0
457.5981613105118,3,85.16925344347243,0
117.91010815235845,2,194.41071081384172,0
350.33786826740425,2,180.55054328932871,0
8661.8607985271,15,4701.469918854345,1
414.07001530070556,4,64.5844101644197,0
187.07664249031,1,250.10624382923163,0
419.7887716563337,2,59.792118408211955,0
23595.180147457984,12,5433.418007697001,1
104.10704711392975,1,152.4144694650155,0
155.32828481926683,4,257.6449501345812,0
59.01961487582301,3,80.76646394385757,0
217.20435929208665,3,277.6744315725616,0
24423.71672518798,5,4652.9753813078405,1
217.43968098476117,4,227.705835325409,0
120.81313319397287,4,64.32591014858706,0
6661.35059387186,9,2679.1611940367256,1
77.81874701348492,1,76.22250969803808,0
430.42074732275967,2,260.444467929181,0
136.46177553111121,2,269.69028892845836,0
72.06029722684957,2,163.36341590156417,0
19463.30209852883,10,7590.167519160376,1
306.858966192503,1,83.38146755974813,0
288.5335698083282,1,212.1139867790913,0
15668.914597115076,8,7369.159096598489,1
447.40154758112453,3,284.3559724479642,0
279.4163799468185,2,253.97376378374094,0
465.67890080493163,1,124.88348930039207,0
380.0352676947792,1,174.60116670164228,0
157.7665470944316,4,266.6450716198849,0
287.80338889165904,4,185.95087512191793,0
313.6063499344498,3,154.3785573833797,0
497.526492991079,4,88.91799261006,0
360.4452229365071,2,299.1394397268688,0
15804.64226546604,7,6931.461297336873,1
497.66281268671025,4,165.0795396630809,0
268.1738591100891,1,248.93149218893203,0
23.214324564409072,1,181.48868789585748,0
185.5179443916774,4,86.43259739100876,0
465.9824175540256,4,85.92302738559914,0
6785.812323757535,5,6927.395738470879,1
246.61973419527294,2,207.32734372081694,0
485.907593839505,3,101.39896168886472,0
418.82319903468175,4,122.73828516714084,0
83.08648668846975,2,291.052062521342,0
339.16446054799616,3,105.74416084034277,0
49.07220381416204,1,56.18184634986785,0
40.833220951342646,4,216.99088316926796,0
298.03579709760277,4,297.29610245393474,0
400.68307054222714,2,215.12001028374888,0
9209.496880164239,12,5690.461004300188,1
10294.540265323178,15,2121.191901591547,1
404.27817638787053,4,203.47411184259897,0
73.7151573064946,4,113.3984179124977,0
277.53072918223523,1,260.4828492733534,0
365.1399772215913,3,148.95746747256294,0
28.320456559803752,4,278.46158955840986,0
69.34461626135696,3,178.42920413988583,0
492.8996392746089,4,290.0108154920541,0
346.45724926117373,4,59.17620035095579,0
116.67406436751645,1,141.45501818710767,0
272.7315594141387,3,297.02869413767684,0
198.22666079169744,2,266.72773816020606,0
342.1881474726882,2,284.70972129191443,0
102.12573712325862,2,208.2515856176529,0
362.6384444133402,2,104.71685144124739,0
275.04177536335914,3,181.87070289044038,0
